0,0
1.,1.282
1.86,1.923
3.05,2.308
4.,2.564
4.99,2.747
6.01,2.885
7.19,2.992
8.14,3.077
9.06,3.147
10.,3.205
11.15,3.255
11.82,3.297
12.98,3.333
14.17,3.365
15.16,3.394
15.86,3.419
17.03,3.441
18.08,3.462
18.99,3.48
19.83,3.497
21.1,3.512
22.18,3.526
23.19,3.538
23.83,3.55
25.17,3.561
25.96,3.572
27.05,3.581
28.02,3.59
28.92,3.598
29.86,3.606
30.98,3.613
32.07,3.62
32.95,3.626
33.84,3.633
34.89,3.638
35.85,3.644
37.17,3.649
38.17,3.654
39.06,3.658
39.93,3.663
41.11,3.667
42.06,3.671
42.91,3.675
43.99,3.679
44.92,3.683
45.84,3.686
46.91,3.689
47.85,3.692
49.05,3.696
49.98,3.698
50.9,3.701
51.84,3.704
52.85,3.706
54.09,3.709
55.,3.711
55.87,3.713
56.82,3.716
57.91,3.718
59.04,3.72
60.09,3.722
61.18,3.724
62.18,3.726
62.95,3.728
63.96,3.73
64.93,3.731
66.11,3.733
67.,3.735
68.18,3.736
68.9,3.738
70.06,3.739
70.86,3.741
72.03,3.742
73.16,3.744
73.91,3.745
75.06,3.746
76.15,3.747
77.08,3.749
77.83,3.75
79.04,3.751
79.98,3.752
81.15,3.753
82.,3.755
82.98,3.756
84.03,3.757
84.92,3.758
85.97,3.759
87.,3.76
88.17,3.761
89.2,3.762
90.02,3.763
90.87,3.763
92.18,3.764
92.81,3.765
94.2,3.766
95.12,3.767
95.83,3.768
97.04,3.768
97.91,3.769
99.1,3.77
99.87,3.771
