0,0
0.97,2.381
1.88,3.571
2.8,4.286
3.85,4.762
4.91,5.102
5.85,5.357
6.82,5.556
7.8,5.714
8.86,5.844
10.02,5.952
10.95,6.044
12.19,6.123
13.01,6.19
14.01,6.25
15.15,6.303
16.16,6.349
16.92,6.391
18.12,6.429
18.82,6.463
19.97,6.494
21.03,6.522
22.01,6.548
22.91,6.571
23.91,6.593
24.96,6.614
26.13,6.633
27.2,6.65
28.06,6.667
28.98,6.682
30.04,6.697
30.97,6.71
32.17,6.723
33.14,6.735
34.12,6.746
34.82,6.757
35.89,6.767
37.04,6.777
38.14,6.786
38.84,6.794
39.88,6.803
40.99,6.811
42.09,6.818
42.99,6.826
44.14,6.832
45.13,6.839
45.84,6.845
46.81,6.851
48.07,6.857
49.1,6.863
49.88,6.868
51.15,6.873
52.18,6.878
52.89,6.883
53.92,6.888
55.11,6.892
56.08,6.897
57.06,6.901
58.14,6.905
59.13,6.909
59.89,6.912
60.92,6.916
62.08,6.92
62.83,6.923
64.15,6.927
65.,6.93
66.05,6.933
66.86,6.936
67.91,6.939
69.01,6.942
70.12,6.944
70.96,6.947
71.83,6.95
73.08,6.952
73.97,6.955
75.01,6.957
75.96,6.96
77.08,6.962
78.,6.964
79.09,6.967
80.05,6.968
80.86,6.971
82.18,6.973
82.84,6.975
83.99,6.977
84.85,6.979
85.92,6.98
86.88,6.983
87.95,6.984
88.96,6.986
90.11,6.988
91.07,6.989
92.09,6.991
93.15,6.993
94.19,6.994
94.91,6.996
96.02,6.997
97.13,6.998
98.02,7.
99.09,7.001
99.95,7.003
